ETF_Ticker,Date,ETF Price
B2QWCY,2014-01-28,43.92295
B2QWCY,2015-01-28,45.4182
B2QWCY,2016-01-28,42.08896
B2QWCY,2019-01-28,56.759403
B2QWCY,2020-01-28,68.264366
B2QWCY,2021-01-28,74.72296
B2QWCY,2022-01-28,94.13809
B2QWCY,2009-01-29,16.682583
B2QWCY,2010-01-29,22.970541
B2QWCY,2013-01-29,32.87907
B2QWCY,2014-01-29,43.89006
B2QWCY,2015-01-29,45.250473
B2QWCY,2016-01-29,41.68504
B2QWCY,2018-01-29,63.284958
B2QWCY,2019-01-29,56.028126
B2QWCY,2020-01-29,67.98156
B2QWCY,2021-01-29,74.49194
B2QWCY,2009-01-30,16.220724
B2QWCY,2012-01-30,28.858782
B2QWCY,2013-01-30,32.879913
B2QWCY,2014-01-30,43.900154
B2QWCY,2015-01-30,45.760216
B2QWCY,2017-01-30,55.87454
B2QWCY,2018-01-30,63.239735
B2QWCY,2019-01-30,57.25272
B2QWCY,2020-01-30,67.733925
B2QWCY,2023-01-30,76.85329
B2QWCY,2011-01-31,28.376038
B2QWCY,2012-01-31,28.973804
B2QWCY,2013-01-31,32.956665
B2QWCY,2014-01-31,44.198105
B2QWCY,2017-01-31,56.227493
B2QWCY,2018-01-31,63.571617
B2QWCY,2019-01-31,58.292305
B2QWCY,2020-01-31,67.931915
B2QWCY,2022-01-31,93.6873
B2QWCY,2023-01-31,77.22303
B2QWCY,2010-02-01,23.201254
B2QWCY,2011-02-01,28.195774
B2QWCY,2012-02-01,29.403585
B2QWCY,2013-02-01,33.262383
B2QWCY,2016-02-01,41.510593
B2QWCY,2017-02-01,55.901783
B2QWCY,2018-02-01,63.205635
B2QWCY,2019-02-01,58.86004
B2QWCY,2021-02-01,73.73669
B2QWCY,2022-02-01,95.14206
B2QWCY,2023-02-01,78.18315
B2QWCY,2009-02-02,15.770153
B2QWCY,2010-02-02,22.738806
B2QWCY,2011-02-02,27.584402
B2QWCY,2012-02-02,29.338268
B2QWCY,2015-02-02,45.00153
B2QWCY,2016-02-02,41.60306
B2QWCY,2017-02-02,55.022156
B2QWCY,2018-02-02,63.855774
B2QWCY,2021-02-02,75.105576
B2QWCY,2022-02-02,95.270744
B2QWCY,2023-02-02,76.88301
B2QWCY,2009-02-03,15.717125
B2QWCY,2010-02-03,22.714066
B2QWCY,2011-02-03,27.632446
B2QWCY,2012-02-03,29.451157
B2QWCY,2014-02-03,44.145145
B2QWCY,2015-02-03,44.88063
B2QWCY,2016-02-03,40.526306
B2QWCY,2017-02-03,56.00433
B2QWCY,2020-02-03,67.8461
B2QWCY,2021-02-03,78.555145
B2QWCY,2022-02-03,93.22145
B2QWCY,2023-02-03,78.86844
B2QWCY,2009-02-04,15.912766
B2QWCY,2010-02-04,22.683947
B2QWCY,2011-02-04,27.701193
B2QWCY,2013-02-04,33.20919
B2QWCY,2014-02-04,44.202812
B2QWCY,2015-02-04,44.76767
B2QWCY,2016-02-04,40.015118
B2QWCY,2019-02-04,59.71539
B2QWCY,2020-02-04,67.97726
B2QWCY,2021-02-04,79.72764
B2QWCY,2022-02-04,92.90382
B2QWCY,2009-02-05,16.360313
B2QWCY,2010-02-05,22.163755
B2QWCY,2013-02-05,33.53535
B2QWCY,2014-02-05,44.054863
B2QWCY,2015-02-05,45.035904
B2QWCY,2016-02-05,40.379734
B2QWCY,2018-02-05,64.70766
B2QWCY,2019-02-05,59.837036
B2QWCY,2020-02-05,67.9866
B2QWCY,2021-02-05,79.654976
B2QWCY,2009-02-06,16.30983
B2QWCY,2012-02-06,29.443844
B2QWCY,2013-02-06,33.520096
B2QWCY,2014-02-06,44.12218
B2QWCY,2015-02-06,44.846786
B2QWCY,2017-02-06,55.96118
B2QWCY,2018-02-06,64.51978
B2QWCY,2019-02-06,59.82979
B2QWCY,2020-02-06,67.561966
B2QWCY,2023-02-06,79.848236
B2QWCY,2011-02-07,27.581234
B2QWCY,2012-02-07,29.589073
B2QWCY,2013-02-07,33.623585
B2QWCY,2014-02-07,44.43549
B2QWCY,2017-02-07,55.42735
B2QWCY,2018-02-07,64.91686
B2QWCY,2019-02-07,59.80838
B2QWCY,2020-02-07,67.75813
B2QWCY,2022-02-07,91.42485
B2QWCY,2010-02-08,22.272127
B2QWCY,2011-02-08,28.147335
B2QWCY,2012-02-08,29.678959
B2QWCY,2013-02-08,33.847713
B2QWCY,2016-02-08,40.275043
B2QWCY,2017-02-08,55.35218
B2QWCY,2018-02-08,64.13443
B2QWCY,2019-02-08,59.987988
B2QWCY,2021-02-08,79.43378
B2QWCY,2022-02-08,91.74869
B2QWCY,2009-02-09,16.87004
B2QWCY,2010-02-09,22.11088
B2QWCY,2011-02-09,28.244791
B2QWCY,2012-02-09,29.758518
B2QWCY,2015-02-09,44.936893
B2QWCY,2016-02-09,39.16321
B2QWCY,2017-02-09,54.875835
B2QWCY,2018-02-09,63.93348
B2QWCY,2021-02-09,80.86997
B2QWCY,2022-02-09,91.97663
B2QWCY,2009-02-10,16.629433
B2QWCY,2010-02-10,21.782852
B2QWCY,2011-02-10,27.806217
B2QWCY,2012-02-10,29.637089
B2QWCY,2014-02-10,44.153976
B2QWCY,2015-02-10,45.437527
B2QWCY,2016-02-10,39.927135
B2QWCY,2017-02-10,55.148796
B2QWCY,2020-02-10,68.449486
B2QWCY,2021-02-10,80.634674
B2QWCY,2022-02-10,92.75258
B2QWCY,2009-02-11,16.069477
B2QWCY,2010-02-11,22.001593
B2QWCY,2011-02-11,27.87045
B2QWCY,2013-02-11,33.959194
B2QWCY,2014-02-11,43.244804
B2QWCY,2015-02-11,45.880363
B2QWCY,2016-02-11,40.70423
B2QWCY,2019-02-11,60.560097
B2QWCY,2020-02-11,68.76284
B2QWCY,2021-02-11,81.82778
B2QWCY,2022-02-11,91.37841
B2QWCY,2009-02-12,15.912849
B2QWCY,2010-02-12,21.836887
B2QWCY,2013-02-12,33.98887
B2QWCY,2014-02-12,42.825924
B2QWCY,2015-02-12,45.724937
B2QWCY,2016-02-12,40.51828
B2QWCY,2018-02-12,64.62854
B2QWCY,2019-02-12,60.40121
B2QWCY,2020-02-12,69.06034
B2QWCY,2021-02-12,80.37235
B2QWCY,2009-02-13,16.005266
B2QWCY,2012-02-13,29.509537
B2QWCY,2013-02-13,33.986343
B2QWCY,2014-02-13,42.862644
B2QWCY,2015-02-13,45.739727
B2QWCY,2017-02-13,54.866722
B2QWCY,2018-02-13,64.636955
B2QWCY,2019-02-13,61.477734
B2QWCY,2020-02-13,69.09688
B2QWCY,2011-02-14,28.350267
B2QWCY,2012-02-14,30.123222
B2QWCY,2013-02-14,33.73278
B2QWCY,2014-02-14,42.846146
B2QWCY,2017-02-14,55.21582
B2QWCY,2018-02-14,65.106606
B2QWCY,2019-02-14,61.02257
B2QWCY,2020-02-14,69.107704
B2QWCY,2022-02-14,92.35934
B2QWCY,2011-02-15,28.477331
B2QWCY,2012-02-15,30.45254
B2QWCY,2013-02-15,33.64325
B2QWCY,2017-02-15,56.365665
B2QWCY,2018-02-15,65.01333
B2QWCY,2019-02-15,60.894344
B2QWCY,2022-02-15,90.44586
B2QWCY,2010-02-16,22.0064
B2QWCY,2011-02-16,28.335354
B2QWCY,2012-02-16,31.118101
B2QWCY,2016-02-16,40.731716
B2QWCY,2017-02-16,56.140648
B2QWCY,2018-02-16,64.590096
B2QWCY,2021-02-16,80.998215
B2QWCY,2022-02-16,88.78612
B2QWCY,2009-02-17,16.465101
B2QWCY,2010-02-17,21.91372
B2QWCY,2011-02-17,28.295078
B2QWCY,2012-02-17,30.974977
B2QWCY,2015-02-17,45.538498
B2QWCY,2016-02-17,40.95036
B2QWCY,2017-02-17,55.71756
B2QWCY,2021-02-17,81.1854
B2QWCY,2022-02-17,89.457184
B2QWCY,2009-02-18,16.22678
B2QWCY,2010-02-18,21.55374
B2QWCY,2011-02-18,28.793932
B2QWCY,2014-02-18,42.958187
B2QWCY,2015-02-18,45.047085
B2QWCY,2016-02-18,40.80579
B2QWCY,2020-02-18,68.55847
B2QWCY,2021-02-18,81.523186
B2QWCY,2022-02-18,87.38586
B2QWCY,2009-02-19,16.618061
B2QWCY,2010-02-19,21.097546
B2QWCY,2013-02-19,33.953014
B2QWCY,2014-02-19,42.78722
B2QWCY,2015-02-19,45.06451
B2QWCY,2016-02-19,41.320904
B2QWCY,2019-02-19,60.346443
B2QWCY,2020-02-19,68.507996
B2QWCY,2021-02-19,81.093216
B2QWCY,2009-02-20,16.735659
B2QWCY,2013-02-20,33.73655
B2QWCY,2014-02-20,41.98957
B2QWCY,2015-02-20,44.852386
B2QWCY,2018-02-20,64.96523
B2QWCY,2019-02-20,60.706776
B2QWCY,2020-02-20,68.024605
B2QWCY,2012-02-21,30.99997
B2QWCY,2013-02-21,33.944725
B2QWCY,2014-02-21,41.665035
B2QWCY,2017-02-21,54.83416
B2QWCY,2018-02-21,65.071815
B2QWCY,2019-02-21,61.343533
B2QWCY,2020-02-21,67.9144
B2QWCY,2010-02-22,21.256018
B2QWCY,2011-02-22,28.73136
B2QWCY,2012-02-22,30.814436
B2QWCY,2013-02-22,33.97375
B2QWCY,2016-02-22,41.700356
B2QWCY,2017-02-22,55.180264
B2QWCY,2018-02-22,64.35234
B2QWCY,2019-02-22,61.054672
B2QWCY,2021-02-22,80.44994
B2QWCY,2022-02-22,84.25771
B2QWCY,2009-02-23,16.190693
B2QWCY,2010-02-23,21.164232
B2QWCY,2011-02-23,28.780499
B2QWCY,2012-02-23,30.829506
B2QWCY,2015-02-23,45.635212
