,model_type,k_ar,params,coint_rank,k_ar_diff,alpha,beta,gamma,det_coef
IFGL_IWM,VAR,7.0,"             IFGL_rtn   IWM_rtn
const       -0.000179  0.000369
L1.IFGL_rtn -0.064881 -0.017605
L1.IWM_rtn   0.027859 -0.067239
L2.IFGL_rtn  0.014577  0.044779
L2.IWM_rtn   0.028910 -0.001245
L3.IFGL_rtn  0.033831  0.009966
L3.IWM_rtn   0.008059 -0.004982
L4.IFGL_rtn  0.031507  0.025519
L4.IWM_rtn  -0.039926 -0.062416
L5.IFGL_rtn -0.052363 -0.063117
L5.IWM_rtn   0.027705  0.013692
L6.IFGL_rtn -0.054450 -0.032984
L6.IWM_rtn   0.012662 -0.004924
L7.IFGL_rtn -0.053069 -0.020382
L7.IWM_rtn   0.023482  0.050336",,,,,,
IGM_IHI,VAR,10.0,"              IGM_rtn   IHI_rtn
const        0.000681  0.000576
L1.IGM_rtn  -0.035568  0.006010
L1.IHI_rtn  -0.061177 -0.036784
L2.IGM_rtn  -0.005410  0.008155
L2.IHI_rtn  -0.007421 -0.015863
L3.IGM_rtn   0.002756  0.034161
L3.IHI_rtn  -0.009852 -0.025895
L4.IGM_rtn   0.012491 -0.004543
L4.IHI_rtn  -0.062980 -0.046517
L5.IGM_rtn   0.032601  0.066950
L5.IHI_rtn  -0.058680 -0.076965
L6.IGM_rtn  -0.034966  0.012050
L6.IHI_rtn  -0.018020 -0.034590
L7.IGM_rtn   0.041605  0.048223
L7.IHI_rtn  -0.003461 -0.002660
L8.IGM_rtn  -0.046957 -0.015912
L8.IHI_rtn  -0.023249 -0.031021
L9.IGM_rtn   0.021632  0.057105
L9.IHI_rtn   0.030722 -0.020848
L10.IGM_rtn  0.032151  0.051913
L10.IHI_rtn -0.040098 -0.039548",,,,,,
IHE_ACWI,VAR,1.0,"              IHE_rtn  ACWI_rtn
const        0.000459  0.000273
L1.IHE_rtn  -0.042645 -0.072662
L1.ACWI_rtn -0.019835 -0.046871",,,,,,
IHE_ACWX,VAR,2.0,"              IHE_rtn  ACWX_rtn
const        0.000481  0.000148
L1.IHE_rtn  -0.056803 -0.104517
L1.ACWX_rtn -0.003323 -0.029150
L2.IHE_rtn  -0.045794 -0.078023
L2.ACWX_rtn  0.033495  0.045201",,,,,,
IHE_SCZ,VAR,8.0,"             IHE_rtn   SCZ_rtn
const       0.000497  0.000205
L1.IHE_rtn -0.047398 -0.067947
L1.SCZ_rtn -0.006748 -0.041360
L2.IHE_rtn -0.093550 -0.107473
L2.SCZ_rtn  0.097612  0.148784
L3.IHE_rtn  0.043748  0.056707
L3.SCZ_rtn -0.011674 -0.028849
L4.IHE_rtn -0.042643 -0.023173
L4.SCZ_rtn  0.022264 -0.015090
L5.IHE_rtn  0.012767  0.038402
L5.SCZ_rtn -0.014500 -0.011609
L6.IHE_rtn -0.042556  0.002694
L6.SCZ_rtn  0.003635 -0.047402
L7.IHE_rtn  0.015567  0.018807
L7.SCZ_rtn  0.007847 -0.010266
L8.IHE_rtn -0.072068 -0.030361
L8.SCZ_rtn  0.024156  0.036193",,,,,,
IHE_TOK,VAR,9.0,"             IHE_rtn   TOK_rtn
const       0.000477  0.000249
L1.IHE_rtn -0.045902  0.108355
L1.TOK_rtn -0.007652 -0.130036
L2.IHE_rtn -0.058509 -0.056820
L2.TOK_rtn  0.052151  0.038915
L3.IHE_rtn  0.042021  0.018008
L3.TOK_rtn -0.023117 -0.038707
L4.IHE_rtn -0.004212  0.036216
L4.TOK_rtn -0.023340 -0.070856
L5.IHE_rtn -0.015466 -0.019284
L5.TOK_rtn  0.025854  0.046918
L6.IHE_rtn -0.026436 -0.012574
L6.TOK_rtn -0.018971 -0.042204
L7.IHE_rtn -0.000594  0.039078
L7.TOK_rtn  0.032979 -0.000421
L8.IHE_rtn -0.054173 -0.028048
L8.TOK_rtn -0.002551 -0.005006
L9.IHE_rtn -0.019725  0.013890
L9.TOK_rtn  0.040959  0.029707",,,,,,
IHE_WOOD,VAR,9.0,"              IHE_rtn  WOOD_rtn
const        0.000504  0.000296
L1.IHE_rtn  -0.033227 -0.025547
L1.WOOD_rtn -0.022079 -0.045872
L2.IHE_rtn  -0.064708 -0.091483
L2.WOOD_rtn  0.050911  0.075028
L3.IHE_rtn   0.028989  0.066350
L3.WOOD_rtn  0.003675 -0.036509
L4.IHE_rtn  -0.034949 -0.028705
L4.WOOD_rtn  0.012666  0.006090
L5.IHE_rtn   0.011937  0.010949
L5.WOOD_rtn -0.014210  0.003368
L6.IHE_rtn  -0.022982 -0.019660
L6.WOOD_rtn -0.019653 -0.029888
L7.IHE_rtn  -0.014488  0.013502
L7.WOOD_rtn  0.044187  0.044855
L8.IHE_rtn  -0.051538 -0.097685
L8.WOOD_rtn -0.000032  0.063459
L9.IHE_rtn  -0.013119  0.061028
L9.WOOD_rtn  0.028314 -0.013512",,,,,,
IHF_ILCB,VAR,10.0,"               IHF_rtn  ILCB_rtn
const         0.000554  0.000418
L1.IHF_rtn   -0.022153 -0.026287
L1.ILCB_rtn  -0.018323 -0.084789
L2.IHF_rtn    0.027325  0.023740
L2.ILCB_rtn   0.002187 -0.012199
L3.IHF_rtn   -0.001122  0.007911
L3.ILCB_rtn   0.025753  0.010739
L4.IHF_rtn   -0.029658 -0.015030
L4.ILCB_rtn   0.005020 -0.032320
L5.IHF_rtn   -0.021258 -0.041297
L5.ILCB_rtn   0.004848  0.025527
L6.IHF_rtn   -0.012770 -0.008997
L6.ILCB_rtn  -0.025712 -0.038291
L7.IHF_rtn   -0.011908  0.004407
L7.ILCB_rtn   0.062806  0.041284
L8.IHF_rtn   -0.048339 -0.042143
L8.ILCB_rtn   0.005869  0.001329
L9.IHF_rtn    0.004990  0.002803
L9.ILCB_rtn   0.060728  0.052138
L10.IHF_rtn  -0.068859 -0.035991
L10.ILCB_rtn  0.026043  0.033325",,,,,,
IHF_ILCG,VAR,10.0,"               IHF_rtn  ILCG_rtn
const         0.000550  0.000526
L1.IHF_rtn   -0.036382 -0.049980
L1.ILCG_rtn   0.005354 -0.046102
L2.IHF_rtn    0.031282  0.039680
L2.ILCG_rtn  -0.001322 -0.043919
L3.IHF_rtn   -0.002099 -0.006869
L3.ILCG_rtn   0.026120  0.009612
L4.IHF_rtn   -0.016018 -0.024837
L4.ILCG_rtn  -0.016437 -0.020869
L5.IHF_rtn   -0.022279 -0.032803
L5.ILCG_rtn   0.006763 -0.000937
L6.IHF_rtn   -0.024612 -0.000591
L6.ILCG_rtn  -0.006343 -0.040473
L7.IHF_rtn   -0.007696 -0.001811
L7.ILCG_rtn   0.055649  0.048715
L8.IHF_rtn   -0.028114 -0.012186
L8.ILCG_rtn  -0.025960 -0.044362
L9.IHF_rtn    0.027979  0.026955
L9.ILCG_rtn   0.021050  0.024564
L10.IHF_rtn  -0.059689 -0.020321
L10.ILCG_rtn  0.008831  0.008987",,,,,,
IHF_IUSG,VAR,10.0,"               IHF_rtn  IUSG_rtn
const         0.000543  0.000497
L1.IHF_rtn   -0.040997 -0.050651
L1.IUSG_rtn   0.010492 -0.047090
L2.IHF_rtn    0.031053  0.032966
L2.IUSG_rtn  -0.001194 -0.035137
L3.IHF_rtn   -0.000356  0.006843
L3.IUSG_rtn   0.022510 -0.001010
L4.IHF_rtn   -0.026033 -0.033786
L4.IUSG_rtn  -0.001753 -0.011060
L5.IHF_rtn   -0.024024 -0.030341
L5.IUSG_rtn   0.010316  0.003822
L6.IHF_rtn   -0.029780 -0.012711
L6.IUSG_rtn   0.001052 -0.028301
L7.IHF_rtn   -0.011825  0.004695
L7.IUSG_rtn   0.063170  0.037107
L8.IHF_rtn   -0.039427 -0.026712
L8.IUSG_rtn  -0.008863 -0.023979
L9.IHF_rtn    0.014353  0.022796
L9.IUSG_rtn   0.043897  0.035945
L10.IHF_rtn  -0.070102 -0.026042
L10.IUSG_rtn  0.026385  0.027172",,,,,,
